2026-06-15 00:19:50, SELF, v:1, k:ed@recursao, self:1, rate:100
2026-06-15 00:19:57, MOVE, v:1, k:ed@triangulo, mode:PICK
2026-06-15 00:20:28, MOVE, v:1, k:ed@triangulo, mode:BACK
2026-06-15 00:31:25, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-06-15 19:44:55, MOVE, v:1, k:ed@prin_list2, mode:PICK
2026-06-15 19:58:56, EXEC, v:1, k:ed@prin_list2, mode:FULL, rate:0, size:46
2026-06-15 19:58:56, MOVE, v:1, k:ed@prin_list2, mode:EDIT
2026-06-15 20:09:45, EXEC, v:1, k:ed@prin_list2, mode:FULL, rate:0
2026-06-15 20:09:51, MOVE, v:1, k:ed@prin_list2, mode:BACK
2026-06-15 20:09:56, MOVE, v:1, k:ed@prin_list2, mode:PICK
2026-06-15 20:09:57, EXEC, v:1, k:ed@prin_list2, mode:FULL, rate:0
2026-06-15 20:12:15, EXEC, v:1, k:ed@prin_list2, mode:FULL, rate:0
2026-06-15 20:12:21, EXEC, v:1, k:ed@prin_list2, mode:FULL, rate:0
2026-06-15 20:12:21, MOVE, v:1, k:ed@prin_list2, mode:EDIT
2026-06-15 20:21:06, EXEC, v:1, k:ed@prin_list2, mode:FULL, rate:0
2026-06-15 20:21:06, MOVE, v:1, k:ed@prin_list2, mode:EDIT
2026-06-15 20:24:57, MOVE, v:1, k:ed@prin_list2, mode:BACK
2026-06-15 20:25:14, MOVE, v:1, k:ed@prin_list2, mode:PICK
2026-06-15 20:25:16, EXEC, v:1, k:ed@prin_list2, mode:FULL, rate:100, size:76
2026-06-15 20:25:28, MOVE, v:1, k:ed@prin_list2, mode:BACK
2026-06-15 20:26:12, SELF, v:1, k:ed@prin_list2, self:1, rate:100, study:40, debug:1
2026-06-15 20:25:16, MOVE, v:1, k:ed@prin_list2, mode:EDIT
2026-06-15 20:32:30, MOVE, v:1, k:ed@editor, mode:PICK
2026-06-15 20:43:42, MOVE, v:1, k:ed@editor, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@alternando, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@alternando, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@alternando, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@apagando, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@apagando, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@apagando, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@baruel, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@baruel, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@baruel, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@bettersearch, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@bettersearch, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@bettersearch, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@buscas, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@buscas, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@buscas, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@casais, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@casais, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@casais, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@controlz, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@controlz, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@controlz, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@editor, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@editor, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@eh_primo, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@eh_primo, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@eh_primo, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@eh_primo, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@eh_primo, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@enesimo, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@enesimo, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@enesimo, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@escada, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@escada, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@especiais, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@especiais, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@fractais, mode:EDIT
2026-06-15 20:45:12, MOVE, v:1, k:ed@fractais, mode:EDIT
