2026-04-07 18:49:49, MOVE, v:1, k:ed@triangulo, mode:DOWN
2026-04-07 18:50:00, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-07 18:49:49, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-04-07 18:49:49, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-04-07 18:49:49, MOVE, v:1, k:ed@triangulo, mode:EDIT
2026-04-07 18:58:00, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-07 18:58:02, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-07 18:58:08, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-07 18:58:13, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-07 19:01:33, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-07 19:01:46, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-07 19:06:21, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-07 19:06:26, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-07 19:06:32, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-07 19:06:34, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-07 19:05:18, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-07 19:05:25, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-07 19:05:25, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-07 19:10:18, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-07 19:10:21, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-07 19:10:03, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-07 19:10:54, MOVE, v:1, k:ed@fractais_png, mode:EDIT
