2026-06-16 11:02:18, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-06-16 11:02:18, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:02:20, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:02:22, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:02:22, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:02:22, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:02:47, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:12:26, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-16 11:11:58, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:12:29, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:12:29, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:14:06, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:14:09, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:14:17, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:14:34, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:24:46, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-16 11:26:54, EXEC, v:1, k:ed@fractais_png, mode:FREE
2026-06-16 11:26:47, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:26:55, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:24:48, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 11:29:10, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-06-16 15:50:24, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-06-16 15:50:24, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 15:50:26, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 15:50:27, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 15:50:27, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 15:50:27, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 15:50:37, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-06-16 15:53:10, MOVE, v:1, k:ed@fractais_png, mode:BACK
